/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:307: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 13.82636547088623, acc1 is 0.9765625, acc5 is 5.6640625, cma_loss is 11.215373992919922, uma_loss is 2.6109914779663086
loss is 13.936922073364258, acc1 is 1.171875, acc5 is 5.078125, cma_loss is 11.316604614257812, uma_loss is 2.620316982269287
loss is 13.687948226928711, acc1 is 1.171875, acc5 is 6.15234375, cma_loss is 11.134979248046875, uma_loss is 2.552968978881836
loss is 13.407129287719727, acc1 is 0.78125, acc5 is 4.78515625, cma_loss is 11.00306510925293, uma_loss is 2.404064178466797
loss is 13.646794319152832, acc1 is 1.171875, acc5 is 5.2734375, cma_loss is 11.197957992553711, uma_loss is 2.448836088180542
loss is 13.436128616333008, acc1 is 0.87890625, acc5 is 5.46875, cma_loss is 11.0670166015625, uma_loss is 2.3691115379333496
loss is 13.295018196105957, acc1 is 1.5625, acc5 is 6.4453125, cma_loss is 11.004762649536133, uma_loss is 2.290255546569824
loss is 13.377584457397461, acc1 is 1.26953125, acc5 is 5.2734375, cma_loss is 11.123210906982422, uma_loss is 2.254373788833618
loss is 13.373367309570312, acc1 is 1.46484375, acc5 is 5.37109375, cma_loss is 11.217864990234375, uma_loss is 2.1555018424987793
loss is 13.159177780151367, acc1 is 0.9765625, acc5 is 6.54296875, cma_loss is 10.976150512695312, uma_loss is 2.183027744293213
loss is 12.932734489440918, acc1 is 1.26953125, acc5 is 6.25, cma_loss is 10.864444732666016, uma_loss is 2.0682897567749023
loss is 13.189580917358398, acc1 is 1.953125, acc5 is 6.25, cma_loss is 11.114879608154297, uma_loss is 2.0747017860412598
loss is 12.922957420349121, acc1 is 1.171875, acc5 is 6.8359375, cma_loss is 10.92660903930664, uma_loss is 1.9963483810424805
loss is 13.15754222869873, acc1 is 0.9765625, acc5 is 4.98046875, cma_loss is 11.11663818359375, uma_loss is 2.0409040451049805
loss is 12.897027969360352, acc1 is 1.26953125, acc5 is 4.8828125, cma_loss is 10.920822143554688, uma_loss is 1.9762053489685059
loss is 12.954275131225586, acc1 is 0.68359375, acc5 is 6.0546875, cma_loss is 10.950080871582031, uma_loss is 2.0041942596435547
loss is 12.875575065612793, acc1 is 1.171875, acc5 is 7.03125, cma_loss is 10.975181579589844, uma_loss is 1.9003934860229492
loss is 12.749069213867188, acc1 is 0.78125, acc5 is 7.12890625, cma_loss is 10.905601501464844, uma_loss is 1.8434679508209229
loss is 12.684910774230957, acc1 is 0.87890625, acc5 is 5.95703125, cma_loss is 10.82473373413086, uma_loss is 1.8601768016815186
loss is 12.572590827941895, acc1 is 1.7578125, acc5 is 6.54296875, cma_loss is 10.747245788574219, uma_loss is 1.8253450393676758
