/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (17,18,19,20,21) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:306: DtypeWarning: Columns (16,17,18) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 14.007336616516113, acc1 is 1.07421875, acc5 is 4.4921875, cma_loss is 11.340934753417969, uma_loss is 2.6664018630981445
loss is 13.65768814086914, acc1 is 1.07421875, acc5 is 5.76171875, cma_loss is 11.112281799316406, uma_loss is 2.5454063415527344
loss is 13.873868942260742, acc1 is 1.171875, acc5 is 4.58984375, cma_loss is 11.334396362304688, uma_loss is 2.539473056793213
loss is 13.851210594177246, acc1 is 0.87890625, acc5 is 4.6875, cma_loss is 11.240440368652344, uma_loss is 2.6107702255249023
loss is 13.679752349853516, acc1 is 0.78125, acc5 is 4.4921875, cma_loss is 11.238605499267578, uma_loss is 2.4411473274230957
loss is 13.41891098022461, acc1 is 1.7578125, acc5 is 6.640625, cma_loss is 10.99533462524414, uma_loss is 2.423576831817627
loss is 13.517563819885254, acc1 is 0.78125, acc5 is 5.46875, cma_loss is 11.237491607666016, uma_loss is 2.2800722122192383
loss is 13.248684883117676, acc1 is 0.87890625, acc5 is 4.8828125, cma_loss is 11.067455291748047, uma_loss is 2.181229591369629
loss is 13.418865203857422, acc1 is 1.3671875, acc5 is 4.8828125, cma_loss is 11.233562469482422, uma_loss is 2.185302495956421
loss is 13.3045015335083, acc1 is 1.171875, acc5 is 4.98046875, cma_loss is 11.207786560058594, uma_loss is 2.096715211868286
loss is 13.21077823638916, acc1 is 0.5859375, acc5 is 4.4921875, cma_loss is 11.282699584960938, uma_loss is 1.9280786514282227
loss is 13.20329761505127, acc1 is 0.87890625, acc5 is 5.56640625, cma_loss is 11.161016464233398, uma_loss is 2.04228138923645
loss is 12.892221450805664, acc1 is 1.26953125, acc5 is 6.34765625, cma_loss is 11.015766143798828, uma_loss is 1.876455307006836
loss is 12.898136138916016, acc1 is 0.9765625, acc5 is 5.6640625, cma_loss is 11.095802307128906, uma_loss is 1.8023340702056885
loss is 12.775293350219727, acc1 is 0.5859375, acc5 is 5.37109375, cma_loss is 10.964302062988281, uma_loss is 1.8109917640686035
loss is 12.824098587036133, acc1 is 1.7578125, acc5 is 6.15234375, cma_loss is 11.074504852294922, uma_loss is 1.749593734741211
loss is 12.767118453979492, acc1 is 1.7578125, acc5 is 7.12890625, cma_loss is 11.048248291015625, uma_loss is 1.718869924545288
loss is 12.827449798583984, acc1 is 0.9765625, acc5 is 4.4921875, cma_loss is 11.122852325439453, uma_loss is 1.7045972347259521
loss is 12.665939331054688, acc1 is 1.5625, acc5 is 5.859375, cma_loss is 10.90277099609375, uma_loss is 1.7631678581237793
loss is 12.790237426757812, acc1 is 1.5625, acc5 is 5.56640625, cma_loss is 11.130996704101562, uma_loss is 1.659240484237671
loss is 12.474799156188965, acc1 is 1.953125, acc5 is 6.73828125, cma_loss is 10.874397277832031, uma_loss is 1.6004021167755127
loss is 12.601226806640625, acc1 is 1.66015625, acc5 is 6.54296875, cma_loss is 11.014060974121094, uma_loss is 1.5871663093566895
loss is 12.447683334350586, acc1 is 1.7578125, acc5 is 7.03125, cma_loss is 10.843990325927734, uma_loss is 1.6036925315856934
loss is 12.290212631225586, acc1 is 1.953125, acc5 is 7.421875, cma_loss is 10.769824981689453, uma_loss is 1.5203876495361328
loss is 12.665827751159668, acc1 is 1.26953125, acc5 is 6.15234375, cma_loss is 11.031501770019531, uma_loss is 1.6343262195587158
loss is 12.226003646850586, acc1 is 1.5625, acc5 is 7.51953125, cma_loss is 10.723678588867188, uma_loss is 1.5023255348205566
loss is 12.234161376953125, acc1 is 2.05078125, acc5 is 8.203125, cma_loss is 10.751731872558594, uma_loss is 1.4824295043945312
loss is 12.28398609161377, acc1 is 1.5625, acc5 is 6.15234375, cma_loss is 10.846664428710938, uma_loss is 1.437321662902832
loss is 12.112743377685547, acc1 is 2.05078125, acc5 is 7.32421875, cma_loss is 10.708084106445312, uma_loss is 1.4046592712402344
loss is 11.982641220092773, acc1 is 1.46484375, acc5 is 6.8359375, cma_loss is 10.632518768310547, uma_loss is 1.3501224517822266
loss is 12.1461181640625, acc1 is 1.46484375, acc5 is 6.54296875, cma_loss is 10.784679412841797, uma_loss is 1.361438274383545
loss is 12.158868789672852, acc1 is 1.953125, acc5 is 7.8125, cma_loss is 10.719429016113281, uma_loss is 1.4394400119781494
loss is 11.997702598571777, acc1 is 1.5625, acc5 is 6.15234375, cma_loss is 10.706470489501953, uma_loss is 1.2912318706512451
loss is 11.736335754394531, acc1 is 1.26953125, acc5 is 8.49609375, cma_loss is 10.38211441040039, uma_loss is 1.3542211055755615
loss is 11.840843200683594, acc1 is 1.46484375, acc5 is 9.375, cma_loss is 10.541847229003906, uma_loss is 1.2989954948425293
loss is 11.771657943725586, acc1 is 3.125, acc5 is 9.27734375, cma_loss is 10.48935317993164, uma_loss is 1.2823050022125244
loss is 11.692419052124023, acc1 is 2.05078125, acc5 is 9.1796875, cma_loss is 10.36001968383789, uma_loss is 1.3323990106582642
loss is 11.898946762084961, acc1 is 1.7578125, acc5 is 9.27734375, cma_loss is 10.582534790039062, uma_loss is 1.3164119720458984
loss is 11.724207878112793, acc1 is 2.44140625, acc5 is 8.7890625, cma_loss is 10.483810424804688, uma_loss is 1.2403974533081055
loss is 11.718318939208984, acc1 is 1.46484375, acc5 is 9.375, cma_loss is 10.501884460449219, uma_loss is 1.2164344787597656
loss is 11.781623840332031, acc1 is 2.44140625, acc5 is 9.1796875, cma_loss is 10.52951431274414, uma_loss is 1.2521097660064697
loss is 11.561685562133789, acc1 is 2.9296875, acc5 is 11.5234375, cma_loss is 10.344757080078125, uma_loss is 1.2169289588928223
loss is 11.692588806152344, acc1 is 2.24609375, acc5 is 8.69140625, cma_loss is 10.431865692138672, uma_loss is 1.2607234716415405
loss is 11.717443466186523, acc1 is 2.24609375, acc5 is 9.9609375, cma_loss is 10.526447296142578, uma_loss is 1.1909959316253662
loss is 11.585899353027344, acc1 is 2.44140625, acc5 is 10.546875, cma_loss is 10.355613708496094, uma_loss is 1.2302852869033813
loss is 11.430398941040039, acc1 is 2.63671875, acc5 is 11.42578125, cma_loss is 10.246940612792969, uma_loss is 1.1834583282470703
loss is 11.4992036819458, acc1 is 2.1484375, acc5 is 10.44921875, cma_loss is 10.337209701538086, uma_loss is 1.161994218826294
loss is 11.596980094909668, acc1 is 2.34375, acc5 is 10.546875, cma_loss is 10.381385803222656, uma_loss is 1.2155945301055908
loss is 11.442679405212402, acc1 is 2.44140625, acc5 is 11.1328125, cma_loss is 10.247642517089844, uma_loss is 1.195036768913269
loss is 11.398792266845703, acc1 is 2.734375, acc5 is 10.7421875, cma_loss is 10.221000671386719, uma_loss is 1.1777920722961426
loss is 11.605305671691895, acc1 is 3.515625, acc5 is 12.3046875, cma_loss is 10.36772346496582, uma_loss is 1.2375823259353638
loss is 11.389729499816895, acc1 is 2.24609375, acc5 is 11.81640625, cma_loss is 10.205730438232422, uma_loss is 1.1839993000030518
loss is 11.739167213439941, acc1 is 2.9296875, acc5 is 10.25390625, cma_loss is 10.536121368408203, uma_loss is 1.203046202659607
loss is 11.388516426086426, acc1 is 2.63671875, acc5 is 9.765625, cma_loss is 10.282299041748047, uma_loss is 1.1062170267105103
loss is 11.363565444946289, acc1 is 3.125, acc5 is 10.7421875, cma_loss is 10.285024642944336, uma_loss is 1.0785404443740845
loss is 11.195710182189941, acc1 is 3.7109375, acc5 is 12.6953125, cma_loss is 10.139217376708984, uma_loss is 1.0564926862716675
loss is 11.12658977508545, acc1 is 3.125, acc5 is 11.9140625, cma_loss is 10.092742919921875, uma_loss is 1.0338468551635742
loss is 11.122380256652832, acc1 is 3.3203125, acc5 is 12.20703125, cma_loss is 10.088512420654297, uma_loss is 1.0338679552078247
loss is 11.193021774291992, acc1 is 2.05078125, acc5 is 10.64453125, cma_loss is 10.15433120727539, uma_loss is 1.0386908054351807
loss is 11.151021003723145, acc1 is 3.02734375, acc5 is 13.0859375, cma_loss is 10.163665771484375, uma_loss is 0.9873548746109009
loss is 11.03515338897705, acc1 is 3.41796875, acc5 is 12.5, cma_loss is 10.00863265991211, uma_loss is 1.02652108669281
loss is 10.757413864135742, acc1 is 2.9296875, acc5 is 14.2578125, cma_loss is 9.819042205810547, uma_loss is 0.9383718967437744
loss is 10.686769485473633, acc1 is 4.98046875, acc5 is 14.55078125, cma_loss is 9.74935531616211, uma_loss is 0.9374141693115234
loss is 11.09399700164795, acc1 is 3.22265625, acc5 is 13.4765625, cma_loss is 10.128293991088867, uma_loss is 0.9657027721405029
loss is 10.703872680664062, acc1 is 3.80859375, acc5 is 14.0625, cma_loss is 9.789606094360352, uma_loss is 0.9142665863037109
loss is 11.182138442993164, acc1 is 2.734375, acc5 is 11.9140625, cma_loss is 10.287670135498047, uma_loss is 0.894467830657959
loss is 10.683975219726562, acc1 is 3.80859375, acc5 is 14.84375, cma_loss is 9.765439987182617, uma_loss is 0.9185349941253662
loss is 11.007692337036133, acc1 is 2.5390625, acc5 is 11.328125, cma_loss is 10.092779159545898, uma_loss is 0.9149132370948792
loss is 10.65832233428955, acc1 is 3.7109375, acc5 is 15.0390625, cma_loss is 9.79768180847168, uma_loss is 0.8606401681900024
loss is 10.78614330291748, acc1 is 4.4921875, acc5 is 13.28125, cma_loss is 9.924667358398438, uma_loss is 0.8614757061004639
loss is 10.88831901550293, acc1 is 4.296875, acc5 is 15.4296875, cma_loss is 10.037532806396484, uma_loss is 0.8507860898971558
loss is 10.747679710388184, acc1 is 3.90625, acc5 is 15.4296875, cma_loss is 9.83559799194336, uma_loss is 0.9120818376541138
loss is 10.601819038391113, acc1 is 3.41796875, acc5 is 15.4296875, cma_loss is 9.771566390991211, uma_loss is 0.8302522897720337
loss is 10.864794731140137, acc1 is 3.515625, acc5 is 13.4765625, cma_loss is 9.986804962158203, uma_loss is 0.8779894113540649
loss is 10.684550285339355, acc1 is 4.58984375, acc5 is 14.6484375, cma_loss is 9.825532913208008, uma_loss is 0.8590174913406372
loss is 10.489436149597168, acc1 is 3.61328125, acc5 is 17.08984375, cma_loss is 9.683250427246094, uma_loss is 0.8061859607696533
loss is 10.470846176147461, acc1 is 4.1015625, acc5 is 14.84375, cma_loss is 9.655733108520508, uma_loss is 0.8151129484176636
loss is 10.294987678527832, acc1 is 4.78515625, acc5 is 18.45703125, cma_loss is 9.467935562133789, uma_loss is 0.8270517587661743
loss is 10.442066192626953, acc1 is 3.90625, acc5 is 16.50390625, cma_loss is 9.62887191772461, uma_loss is 0.8131940364837646
loss is 10.553354263305664, acc1 is 3.515625, acc5 is 16.2109375, cma_loss is 9.709573745727539, uma_loss is 0.843780517578125
loss is 10.35035228729248, acc1 is 4.8828125, acc5 is 16.30859375, cma_loss is 9.562652587890625, uma_loss is 0.7876995801925659
loss is 10.269620895385742, acc1 is 6.640625, acc5 is 17.1875, cma_loss is 9.473371505737305, uma_loss is 0.7962489128112793
loss is 10.384818077087402, acc1 is 5.56640625, acc5 is 17.7734375, cma_loss is 9.560070037841797, uma_loss is 0.8247483968734741
loss is 10.275870323181152, acc1 is 5.859375, acc5 is 19.23828125, cma_loss is 9.482492446899414, uma_loss is 0.7933776378631592
loss is 10.262805938720703, acc1 is 5.76171875, acc5 is 18.359375, cma_loss is 9.483449935913086, uma_loss is 0.7793564200401306
loss is 10.011770248413086, acc1 is 5.95703125, acc5 is 21.6796875, cma_loss is 9.241369247436523, uma_loss is 0.7704013586044312
loss is 10.19794750213623, acc1 is 5.95703125, acc5 is 18.75, cma_loss is 9.419670104980469, uma_loss is 0.7782773375511169
loss is 10.491827011108398, acc1 is 5.76171875, acc5 is 18.5546875, cma_loss is 9.69228744506836, uma_loss is 0.7995394468307495
loss is 10.061243057250977, acc1 is 4.39453125, acc5 is 18.75, cma_loss is 9.327489852905273, uma_loss is 0.7337527275085449
loss is 9.857494354248047, acc1 is 6.4453125, acc5 is 22.75390625, cma_loss is 9.10165023803711, uma_loss is 0.7558436393737793
loss is 9.955830574035645, acc1 is 4.78515625, acc5 is 21.58203125, cma_loss is 9.19914436340332, uma_loss is 0.7566864490509033
loss is 10.078476905822754, acc1 is 5.95703125, acc5 is 19.04296875, cma_loss is 9.35250186920166, uma_loss is 0.7259753346443176
loss is 10.026955604553223, acc1 is 5.078125, acc5 is 19.62890625, cma_loss is 9.29736328125, uma_loss is 0.729591965675354
loss is 10.006818771362305, acc1 is 4.6875, acc5 is 18.84765625, cma_loss is 9.272470474243164, uma_loss is 0.7343487739562988
loss is 9.842700004577637, acc1 is 5.6640625, acc5 is 21.484375, cma_loss is 9.11079216003418, uma_loss is 0.7319074869155884
loss is 10.132548332214355, acc1 is 4.98046875, acc5 is 19.82421875, cma_loss is 9.417501449584961, uma_loss is 0.7150468826293945
loss is 9.898921012878418, acc1 is 7.32421875, acc5 is 22.36328125, cma_loss is 9.185079574584961, uma_loss is 0.7138411402702332
loss is 9.965924263000488, acc1 is 5.76171875, acc5 is 22.36328125, cma_loss is 9.226632118225098, uma_loss is 0.739291787147522
loss is 9.909774780273438, acc1 is 4.98046875, acc5 is 19.82421875, cma_loss is 9.160224914550781, uma_loss is 0.7495501041412354
loss is 10.030557632446289, acc1 is 4.78515625, acc5 is 21.875, cma_loss is 9.317405700683594, uma_loss is 0.7131518125534058
loss is 9.85786247253418, acc1 is 5.46875, acc5 is 21.77734375, cma_loss is 9.13897705078125, uma_loss is 0.7188858985900879
loss is 9.998779296875, acc1 is 4.98046875, acc5 is 19.140625, cma_loss is 9.298576354980469, uma_loss is 0.7002027630805969
loss is 9.640548706054688, acc1 is 6.93359375, acc5 is 24.8046875, cma_loss is 8.995874404907227, uma_loss is 0.6446746587753296
loss is 9.843435287475586, acc1 is 6.93359375, acc5 is 22.265625, cma_loss is 9.14140510559082, uma_loss is 0.7020301818847656
loss is 9.837850570678711, acc1 is 6.8359375, acc5 is 19.3359375, cma_loss is 9.157642364501953, uma_loss is 0.6802083253860474
loss is 10.01616382598877, acc1 is 4.39453125, acc5 is 19.921875, cma_loss is 9.350247383117676, uma_loss is 0.6659168004989624
loss is 9.812690734863281, acc1 is 7.03125, acc5 is 21.09375, cma_loss is 9.108732223510742, uma_loss is 0.7039584517478943
loss is 9.757890701293945, acc1 is 6.640625, acc5 is 24.4140625, cma_loss is 9.105976104736328, uma_loss is 0.651914119720459
loss is 9.663240432739258, acc1 is 6.54296875, acc5 is 20.99609375, cma_loss is 8.990983963012695, uma_loss is 0.6722567081451416
loss is 9.594498634338379, acc1 is 7.91015625, acc5 is 24.21875, cma_loss is 8.925844192504883, uma_loss is 0.6686547994613647
loss is 9.718393325805664, acc1 is 7.71484375, acc5 is 23.53515625, cma_loss is 9.03836441040039, uma_loss is 0.6800293922424316
loss is 9.850582122802734, acc1 is 5.2734375, acc5 is 22.265625, cma_loss is 9.220871925354004, uma_loss is 0.6297106742858887
loss is 9.454663276672363, acc1 is 5.859375, acc5 is 24.31640625, cma_loss is 8.815404891967773, uma_loss is 0.6392586827278137
loss is 9.561164855957031, acc1 is 7.2265625, acc5 is 23.73046875, cma_loss is 8.95632553100586, uma_loss is 0.6048397421836853
loss is 9.458869934082031, acc1 is 6.8359375, acc5 is 24.51171875, cma_loss is 8.792009353637695, uma_loss is 0.6668608784675598
