/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (17,18,19,20,21) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:306: DtypeWarning: Columns (16,17,18) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 13.886713027954102, acc1 is 1.07421875, acc5 is 4.58984375, cma_loss is 11.266029357910156, uma_loss is 2.6206836700439453
loss is 13.73283576965332, acc1 is 1.07421875, acc5 is 6.15234375, cma_loss is 11.182846069335938, uma_loss is 2.549990177154541
loss is 13.775627136230469, acc1 is 1.171875, acc5 is 4.4921875, cma_loss is 11.243907928466797, uma_loss is 2.531719207763672
loss is 13.758384704589844, acc1 is 1.171875, acc5 is 5.17578125, cma_loss is 11.196033477783203, uma_loss is 2.5623512268066406
loss is 13.633044242858887, acc1 is 0.9765625, acc5 is 4.1015625, cma_loss is 11.264190673828125, uma_loss is 2.3688535690307617
loss is 13.400382995605469, acc1 is 1.7578125, acc5 is 6.640625, cma_loss is 11.020679473876953, uma_loss is 2.3797035217285156
loss is 13.510478973388672, acc1 is 1.171875, acc5 is 5.2734375, cma_loss is 11.251033782958984, uma_loss is 2.2594454288482666
loss is 13.388762474060059, acc1 is 0.78125, acc5 is 4.296875, cma_loss is 11.220603942871094, uma_loss is 2.168158531188965
loss is 13.583805084228516, acc1 is 1.26953125, acc5 is 4.39453125, cma_loss is 11.431217193603516, uma_loss is 2.152587652206421
loss is 13.19961166381836, acc1 is 1.953125, acc5 is 5.76171875, cma_loss is 11.081073760986328, uma_loss is 2.118537425994873
loss is 13.427461624145508, acc1 is 0.78125, acc5 is 4.19921875, cma_loss is 11.432117462158203, uma_loss is 1.995344638824463
loss is 13.386697769165039, acc1 is 1.46484375, acc5 is 5.56640625, cma_loss is 11.229736328125, uma_loss is 2.156960964202881
loss is 13.088808059692383, acc1 is 0.78125, acc5 is 5.56640625, cma_loss is 11.09792709350586, uma_loss is 1.9908807277679443
loss is 12.982532501220703, acc1 is 0.87890625, acc5 is 5.46875, cma_loss is 11.12884521484375, uma_loss is 1.8536877632141113
loss is 12.818853378295898, acc1 is 1.07421875, acc5 is 5.37109375, cma_loss is 10.989883422851562, uma_loss is 1.828970193862915
loss is 12.924954414367676, acc1 is 1.3671875, acc5 is 5.95703125, cma_loss is 11.131305694580078, uma_loss is 1.7936484813690186
loss is 12.76065731048584, acc1 is 1.66015625, acc5 is 6.34765625, cma_loss is 10.993453979492188, uma_loss is 1.7672033309936523
loss is 12.912054061889648, acc1 is 0.9765625, acc5 is 5.46875, cma_loss is 11.167251586914062, uma_loss is 1.7448019981384277
loss is 12.626270294189453, acc1 is 1.66015625, acc5 is 6.640625, cma_loss is 10.902645111083984, uma_loss is 1.7236249446868896
loss is 12.688353538513184, acc1 is 1.3671875, acc5 is 5.859375, cma_loss is 11.020523071289062, uma_loss is 1.6678307056427002
loss is 12.612831115722656, acc1 is 1.5625, acc5 is 5.859375, cma_loss is 10.967891693115234, uma_loss is 1.6449389457702637
loss is 12.431676864624023, acc1 is 1.46484375, acc5 is 6.34765625, cma_loss is 10.834789276123047, uma_loss is 1.5968871116638184
loss is 12.523550987243652, acc1 is 1.7578125, acc5 is 7.03125, cma_loss is 10.865501403808594, uma_loss is 1.6580498218536377
loss is 12.428653717041016, acc1 is 1.46484375, acc5 is 7.421875, cma_loss is 10.837623596191406, uma_loss is 1.5910296440124512
loss is 12.638286590576172, acc1 is 1.26953125, acc5 is 6.15234375, cma_loss is 10.95404052734375, uma_loss is 1.6842460632324219
loss is 12.28325080871582, acc1 is 1.46484375, acc5 is 6.8359375, cma_loss is 10.773075103759766, uma_loss is 1.5101758241653442
loss is 12.263453483581543, acc1 is 1.85546875, acc5 is 7.8125, cma_loss is 10.751873016357422, uma_loss is 1.5115807056427002
loss is 12.550141334533691, acc1 is 1.46484375, acc5 is 7.12890625, cma_loss is 10.990577697753906, uma_loss is 1.559563398361206
loss is 12.206249237060547, acc1 is 1.46484375, acc5 is 7.2265625, cma_loss is 10.753833770751953, uma_loss is 1.4524154663085938
loss is 12.029336929321289, acc1 is 1.5625, acc5 is 7.91015625, cma_loss is 10.644416809082031, uma_loss is 1.3849201202392578
loss is 12.123818397521973, acc1 is 1.7578125, acc5 is 7.91015625, cma_loss is 10.731346130371094, uma_loss is 1.392472505569458
loss is 12.119582176208496, acc1 is 1.46484375, acc5 is 6.73828125, cma_loss is 10.660713195800781, uma_loss is 1.4588689804077148
loss is 12.145370483398438, acc1 is 1.07421875, acc5 is 6.54296875, cma_loss is 10.807373046875, uma_loss is 1.3379971981048584
loss is 11.808109283447266, acc1 is 2.05078125, acc5 is 8.59375, cma_loss is 10.447158813476562, uma_loss is 1.3609504699707031
loss is 11.93362808227539, acc1 is 1.66015625, acc5 is 7.2265625, cma_loss is 10.576427459716797, uma_loss is 1.3572003841400146
loss is 11.892789840698242, acc1 is 2.63671875, acc5 is 9.1796875, cma_loss is 10.59793472290039, uma_loss is 1.2948551177978516
loss is 11.784146308898926, acc1 is 2.34375, acc5 is 7.71484375, cma_loss is 10.409442901611328, uma_loss is 1.3747036457061768
loss is 11.901407241821289, acc1 is 2.24609375, acc5 is 8.59375, cma_loss is 10.582073211669922, uma_loss is 1.3193342685699463
loss is 11.704837799072266, acc1 is 2.5390625, acc5 is 9.1796875, cma_loss is 10.464469909667969, uma_loss is 1.2403678894042969
loss is 11.766952514648438, acc1 is 2.44140625, acc5 is 9.08203125, cma_loss is 10.483871459960938, uma_loss is 1.2830811738967896
loss is 11.771907806396484, acc1 is 2.24609375, acc5 is 9.47265625, cma_loss is 10.475662231445312, uma_loss is 1.2962455749511719
loss is 11.594291687011719, acc1 is 3.02734375, acc5 is 12.5, cma_loss is 10.360223770141602, uma_loss is 1.234067678451538
loss is 11.81413745880127, acc1 is 2.34375, acc5 is 8.49609375, cma_loss is 10.488065719604492, uma_loss is 1.326072096824646
loss is 11.955466270446777, acc1 is 1.66015625, acc5 is 9.9609375, cma_loss is 10.705818176269531, uma_loss is 1.249647855758667
loss is 11.886737823486328, acc1 is 3.125, acc5 is 9.08203125, cma_loss is 10.646018981933594, uma_loss is 1.2407187223434448
loss is 11.44841480255127, acc1 is 3.22265625, acc5 is 12.98828125, cma_loss is 10.268608093261719, uma_loss is 1.1798064708709717
loss is 11.597569465637207, acc1 is 1.953125, acc5 is 9.66796875, cma_loss is 10.39486312866211, uma_loss is 1.2027064561843872
loss is 11.720943450927734, acc1 is 2.83203125, acc5 is 8.7890625, cma_loss is 10.500308990478516, uma_loss is 1.2206339836120605
loss is 11.547290802001953, acc1 is 2.44140625, acc5 is 9.765625, cma_loss is 10.257492065429688, uma_loss is 1.2897982597351074
loss is 11.5169038772583, acc1 is 1.66015625, acc5 is 9.47265625, cma_loss is 10.309432983398438, uma_loss is 1.2074706554412842
loss is 11.58521556854248, acc1 is 2.24609375, acc5 is 10.15625, cma_loss is 10.339618682861328, uma_loss is 1.2455968856811523
loss is 11.33882999420166, acc1 is 3.125, acc5 is 12.40234375, cma_loss is 10.127941131591797, uma_loss is 1.2108891010284424
loss is 11.456426620483398, acc1 is 3.41796875, acc5 is 13.28125, cma_loss is 10.253402709960938, uma_loss is 1.2030237913131714
loss is 11.206947326660156, acc1 is 2.734375, acc5 is 11.62109375, cma_loss is 10.093563079833984, uma_loss is 1.11338472366333
loss is 11.379639625549316, acc1 is 2.734375, acc5 is 11.71875, cma_loss is 10.257686614990234, uma_loss is 1.121952772140503
loss is 11.107083320617676, acc1 is 2.44140625, acc5 is 11.71875, cma_loss is 10.037837982177734, uma_loss is 1.06924569606781
loss is 11.14255142211914, acc1 is 3.02734375, acc5 is 12.890625, cma_loss is 10.068595886230469, uma_loss is 1.0739554166793823
loss is 11.072160720825195, acc1 is 1.7578125, acc5 is 12.3046875, cma_loss is 9.986557006835938, uma_loss is 1.0856035947799683
loss is 11.124683380126953, acc1 is 2.05078125, acc5 is 9.86328125, cma_loss is 10.049766540527344, uma_loss is 1.0749164819717407
loss is 11.12297534942627, acc1 is 3.125, acc5 is 12.01171875, cma_loss is 10.079296112060547, uma_loss is 1.0436794757843018
loss is 11.057611465454102, acc1 is 4.1015625, acc5 is 12.98828125, cma_loss is 10.010442733764648, uma_loss is 1.0471686124801636
loss is 10.774675369262695, acc1 is 3.61328125, acc5 is 13.4765625, cma_loss is 9.844322204589844, uma_loss is 0.9303529262542725
loss is 10.701681137084961, acc1 is 4.58984375, acc5 is 14.55078125, cma_loss is 9.760396957397461, uma_loss is 0.9412837028503418
loss is 11.069106101989746, acc1 is 3.515625, acc5 is 12.890625, cma_loss is 10.142763137817383, uma_loss is 0.9263433218002319
loss is 10.70251750946045, acc1 is 3.125, acc5 is 11.9140625, cma_loss is 9.807340621948242, uma_loss is 0.8951766490936279
loss is 11.04942798614502, acc1 is 2.44140625, acc5 is 10.7421875, cma_loss is 10.161849975585938, uma_loss is 0.8875782489776611
loss is 10.938343048095703, acc1 is 3.80859375, acc5 is 12.40234375, cma_loss is 10.023557662963867, uma_loss is 0.9147852659225464
loss is 11.013493537902832, acc1 is 3.02734375, acc5 is 13.57421875, cma_loss is 10.097938537597656, uma_loss is 0.9155551195144653
loss is 10.905406951904297, acc1 is 2.63671875, acc5 is 11.1328125, cma_loss is 9.980791091918945, uma_loss is 0.9246158599853516
loss is 10.795852661132812, acc1 is 4.00390625, acc5 is 13.96484375, cma_loss is 9.943058013916016, uma_loss is 0.8527942895889282
loss is 10.725147247314453, acc1 is 4.6875, acc5 is 15.52734375, cma_loss is 9.844026565551758, uma_loss is 0.881121039390564
loss is 10.902876853942871, acc1 is 3.3203125, acc5 is 13.671875, cma_loss is 9.990802764892578, uma_loss is 0.912074089050293
loss is 10.733776092529297, acc1 is 3.90625, acc5 is 14.0625, cma_loss is 9.882976531982422, uma_loss is 0.8507997393608093
loss is 10.953694343566895, acc1 is 3.3203125, acc5 is 11.71875, cma_loss is 10.057804107666016, uma_loss is 0.8958900570869446
loss is 10.685839653015137, acc1 is 4.296875, acc5 is 15.13671875, cma_loss is 9.84433364868164, uma_loss is 0.841505765914917
loss is 10.574135780334473, acc1 is 4.4921875, acc5 is 16.796875, cma_loss is 9.721067428588867, uma_loss is 0.8530679941177368
loss is 10.473821640014648, acc1 is 4.296875, acc5 is 16.50390625, cma_loss is 9.606746673583984, uma_loss is 0.8670748472213745
loss is 10.279298782348633, acc1 is 4.98046875, acc5 is 17.578125, cma_loss is 9.480106353759766, uma_loss is 0.7991926670074463
loss is 10.452666282653809, acc1 is 4.19921875, acc5 is 17.48046875, cma_loss is 9.622232437133789, uma_loss is 0.8304336071014404
loss is 10.510968208312988, acc1 is 3.90625, acc5 is 16.40625, cma_loss is 9.694612503051758, uma_loss is 0.8163553476333618
loss is 10.379782676696777, acc1 is 4.6875, acc5 is 16.796875, cma_loss is 9.561023712158203, uma_loss is 0.8187589645385742
loss is 10.273407936096191, acc1 is 4.78515625, acc5 is 17.48046875, cma_loss is 9.482669830322266, uma_loss is 0.7907382249832153
loss is 10.42027473449707, acc1 is 4.296875, acc5 is 15.4296875, cma_loss is 9.673017501831055, uma_loss is 0.7472569942474365
loss is 10.399441719055176, acc1 is 5.46875, acc5 is 18.1640625, cma_loss is 9.585409164428711, uma_loss is 0.814032793045044
loss is 10.35600471496582, acc1 is 4.98046875, acc5 is 18.06640625, cma_loss is 9.547012329101562, uma_loss is 0.8089919686317444
loss is 10.301912307739258, acc1 is 5.078125, acc5 is 20.5078125, cma_loss is 9.498411178588867, uma_loss is 0.8035013675689697
loss is 10.414206504821777, acc1 is 5.2734375, acc5 is 17.96875, cma_loss is 9.593255996704102, uma_loss is 0.8209502696990967
loss is 10.573534965515137, acc1 is 4.4921875, acc5 is 17.08984375, cma_loss is 9.754119873046875, uma_loss is 0.8194149732589722
loss is 10.236371040344238, acc1 is 4.00390625, acc5 is 15.625, cma_loss is 9.477136611938477, uma_loss is 0.759234607219696
loss is 10.174901962280273, acc1 is 6.73828125, acc5 is 20.60546875, cma_loss is 9.361295700073242, uma_loss is 0.8136066794395447
loss is 10.257128715515137, acc1 is 3.7109375, acc5 is 17.67578125, cma_loss is 9.43971061706543, uma_loss is 0.817418098449707
loss is 10.176732063293457, acc1 is 5.37109375, acc5 is 19.53125, cma_loss is 9.374009132385254, uma_loss is 0.802722692489624
loss is 10.21717643737793, acc1 is 5.95703125, acc5 is 19.82421875, cma_loss is 9.373260498046875, uma_loss is 0.8439156413078308
loss is 10.170965194702148, acc1 is 4.58984375, acc5 is 18.45703125, cma_loss is 9.428293228149414, uma_loss is 0.7426716089248657
loss is 9.95382022857666, acc1 is 6.15234375, acc5 is 21.38671875, cma_loss is 9.17399787902832, uma_loss is 0.7798219919204712
loss is 10.308030128479004, acc1 is 4.8828125, acc5 is 19.7265625, cma_loss is 9.535760879516602, uma_loss is 0.7722694277763367
loss is 10.148354530334473, acc1 is 5.2734375, acc5 is 19.23828125, cma_loss is 9.378839492797852, uma_loss is 0.7695146799087524
loss is 10.167344093322754, acc1 is 5.17578125, acc5 is 19.04296875, cma_loss is 9.372446060180664, uma_loss is 0.7948983311653137
loss is 10.004547119140625, acc1 is 5.46875, acc5 is 19.921875, cma_loss is 9.22132396697998, uma_loss is 0.783223569393158
loss is 10.233510971069336, acc1 is 5.37109375, acc5 is 20.1171875, cma_loss is 9.442676544189453, uma_loss is 0.7908340096473694
loss is 9.815183639526367, acc1 is 7.03125, acc5 is 22.4609375, cma_loss is 9.086837768554688, uma_loss is 0.7283461093902588
loss is 10.3550386428833, acc1 is 3.80859375, acc5 is 16.6015625, cma_loss is 9.5494384765625, uma_loss is 0.8055999875068665
loss is 9.877630233764648, acc1 is 6.15234375, acc5 is 23.92578125, cma_loss is 9.136980056762695, uma_loss is 0.7406498193740845
