/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:306: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 13.901407241821289, acc1 is 1.171875, acc5 is 5.56640625, cma_loss is 11.192420959472656, uma_loss is 2.708986282348633
loss is 14.002217292785645, acc1 is 1.171875, acc5 is 5.6640625, cma_loss is 11.31778335571289, uma_loss is 2.684433937072754
loss is 13.72083854675293, acc1 is 1.46484375, acc5 is 6.0546875, cma_loss is 11.167350769042969, uma_loss is 2.553488254547119
loss is 13.371688842773438, acc1 is 0.9765625, acc5 is 4.98046875, cma_loss is 10.961322784423828, uma_loss is 2.4103658199310303
loss is 13.595378875732422, acc1 is 0.78125, acc5 is 4.98046875, cma_loss is 11.203304290771484, uma_loss is 2.3920745849609375
loss is 13.361763000488281, acc1 is 1.07421875, acc5 is 5.2734375, cma_loss is 11.019298553466797, uma_loss is 2.3424642086029053
loss is 13.316320419311523, acc1 is 1.85546875, acc5 is 6.34765625, cma_loss is 11.048271179199219, uma_loss is 2.2680492401123047
loss is 13.32296371459961, acc1 is 1.26953125, acc5 is 5.6640625, cma_loss is 11.0306396484375, uma_loss is 2.292323589324951
loss is 13.282445907592773, acc1 is 1.07421875, acc5 is 5.37109375, cma_loss is 11.195938110351562, uma_loss is 2.086508274078369
loss is 12.99738883972168, acc1 is 1.07421875, acc5 is 5.76171875, cma_loss is 10.900375366210938, uma_loss is 2.097012996673584
loss is 13.010215759277344, acc1 is 0.87890625, acc5 is 5.95703125, cma_loss is 10.95831298828125, uma_loss is 2.0519022941589355
loss is 13.071786880493164, acc1 is 0.9765625, acc5 is 5.6640625, cma_loss is 11.042194366455078, uma_loss is 2.0295920372009277
loss is 13.055622100830078, acc1 is 1.3671875, acc5 is 6.73828125, cma_loss is 11.000579833984375, uma_loss is 2.0550427436828613
loss is 13.243213653564453, acc1 is 0.68359375, acc5 is 5.17578125, cma_loss is 11.16933822631836, uma_loss is 2.0738754272460938
loss is 12.907225608825684, acc1 is 1.07421875, acc5 is 5.2734375, cma_loss is 10.871231079101562, uma_loss is 2.0359947681427
loss is 12.981762886047363, acc1 is 1.3671875, acc5 is 6.54296875, cma_loss is 10.968952178955078, uma_loss is 2.012810707092285
loss is 12.946563720703125, acc1 is 1.3671875, acc5 is 5.95703125, cma_loss is 10.964996337890625, uma_loss is 1.981567621231079
loss is 12.776900291442871, acc1 is 1.26953125, acc5 is 7.32421875, cma_loss is 10.919021606445312, uma_loss is 1.8578786849975586
loss is 12.735355377197266, acc1 is 1.07421875, acc5 is 6.4453125, cma_loss is 10.79647445678711, uma_loss is 1.9388806819915771
loss is 12.736278533935547, acc1 is 0.9765625, acc5 is 5.95703125, cma_loss is 10.844005584716797, uma_loss is 1.8922724723815918
loss is 12.597883224487305, acc1 is 1.3671875, acc5 is 6.34765625, cma_loss is 10.840782165527344, uma_loss is 1.7571015357971191
loss is 12.71442985534668, acc1 is 0.9765625, acc5 is 6.0546875, cma_loss is 10.956977844238281, uma_loss is 1.7574522495269775
loss is 12.526309967041016, acc1 is 1.3671875, acc5 is 6.4453125, cma_loss is 10.782766342163086, uma_loss is 1.7435431480407715
